playerName,playerPrice,playerPos,playerClub,playerImg,TotalPoints,Goals,Assists,BallsRecov
S. Esquivel,4,GK,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164595.jpg?v=4.07,0,0,0,0
J. Boñar,4,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250154300.jpg?v=4.07,0,0,0,0
T. Schlieck,4,GK,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164038.jpg?v=4.07,0,0,0,0
J. Hillson,4,GK,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134303.jpg?v=4.07,0,0,0,0
J. Drommel,4,GK,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081931.jpg?v=4.07,0,0,0,0
Muhlis Dağaşan,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250178661.jpg?v=4.07,0,0,0,0
Sergio Mestre,4,GK,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250154301.jpg?v=4.07,0,0,0,0
Y. Gil Y Muinos,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187775.jpg?v=4.07,0,0,0,0
G. Ayesa,4,GK,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250147522.jpg?v=4.07,0,0,0,0
E. Van De Blaak,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250174752.jpg?v=4.07,0,0,0,0
R. El Meliani,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187776.jpg?v=4.07,0,0,0,0
A. Fraga,4,GK,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250136441.jpg?v=4.07,0,0,0,0
F. González,4,GK,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176532.jpg?v=4.07,0,0,0,0
H. Idasiak,4,GK,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250124307.jpg?v=4.07,0,0,0,0
Marvel,4,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164223.jpg?v=4.07,0,0,0,0
H. Blank,4,DEF,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250154302.jpg?v=4.07,0,0,0,0
B. Waterman,4,GK,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/52563.jpg?v=4.07,0,0,0,0
E. Geerts,4,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250170822.jpg?v=4.07,0,0,0,0
T. Meyer,4,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153438.jpg?v=4.07,0,0,0,0
T. Buchmann,4,DEF,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153538.jpg?v=4.07,0,0,0,0
L. Hennig,4,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176276.jpg?v=4.07,0,0,0,0
R. Di Gennaro,4,GK,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250017814.jpg?v=4.07,0,0,0,0
Unai Marrero,4,GK,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250154323.jpg?v=4.07,0,0,0,0
Alejandro Iturbe,4,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250123714.jpg?v=4.07,0,0,0,0
R. Walters,4,DEF,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250182972.jpg?v=4.07,0,0,0,0
D. Khocholava,4,DEF,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250004261.jpg?v=4.07,0,0,0,0
J. Martín,4,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250179704.jpg?v=4.07,0,0,0,0
L. Sepe,4,GK,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250002190.jpg?v=4.07,0,0,0,0
S. Ostrzinski,4,GK,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153408.jpg?v=4.07,0,0,0,0
M. Dams,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250169764.jpg?v=4.07,0,0,0,0
J. Lannin-Sweet,4,DEF,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250166953.jpg?v=4.07,0,0,0,0
A. Tenas,4,GK,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250106979.jpg?v=4.07,0,0,0,0
A. Letellier,4,GK,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250025058.jpg?v=4.07,0,0,0,0
W Kuhn,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250180113.jpg?v=4.07,0,0,0,0
A. Papadopoulos,4,DEF,DOR,https://gaming.uefa.com/en/uclfantasy/static-assets/ucl2020/images/default_player@2x.png?v=5.4,0,0,0,0
N. Janssen,4,GK,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187773.jpg?v=4.07,0,0,0,0
K. Jansen,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250169765.jpg?v=4.07,0,0,0,0
M. Ae,4,GK,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176269.jpg?v=4.07,0,0,0,0
Cláudio Ramos,4,GK,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1909059.jpg?v=4.07,0,0,0,0
R. Belid,4,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164587.jpg?v=4.07,0,0,0,0
U. González,4,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250147526.jpg?v=4.07,0,0,0,0
D. Kochen,4,GK,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250169576.jpg?v=4.07,0,0,0,0
R. Van De Riet,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250180108.jpg?v=4.07,0,0,0,0
P. Cubarsí,4,DEF,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176453.jpg?v=4.07,0,0,0,0
B. Rovers,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250171167.jpg?v=4.07,0,0,0,0
Antonio Gomis,4,GK,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250135499.jpg?v=4.07,0,0,0,0
Rafel Obrador,4,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250139254.jpg?v=4.07,0,0,0,0
V. Tobias,4,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176491.jpg?v=4.07,0,0,0,0
L. Cañizares,4,GK,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250126910.jpg?v=4.07,0,0,0,0
N. Schiks,4,GK,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250148144.jpg?v=4.07,0,0,0,0
Ander Astralaga,4,GK,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164626.jpg?v=4.07,0,0,0,0
L. D'Avino,4,DEF,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176642.jpg?v=4.07,0,0,0,0
A. Dithmer,4,GK,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250175765.jpg?v=4.07,0,0,0,0
E. Astigarraga,4,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187305.jpg?v=4.07,0,0,0,0
L. Semic,4,DEF,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134648.jpg?v=4.07,0,0,0,0
Mario Martín,4,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250168870.jpg?v=4.07,0,0,0,0
Gonçalo Ribeiro,4,GK,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250169106.jpg?v=4.07,0,0,0,0
K. Peersman,4,GK,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250148143.jpg?v=4.07,0,0,0,0
N. Contini,4,GK,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250064393.jpg?v=4.07,0,0,0,0
T. Sander,4,GK,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250167073.jpg?v=4.07,0,0,0,0
M. Jimenez,4,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250128443.jpg?v=4.07,0,0,0,0
J. Díaz,4,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250171664.jpg?v=4.07,0,0,0,0
T. Köhler,4,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250165759.jpg?v=4.07,0,0,0,0
S. Carson,4,GK,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/69178.jpg?v=4.07,0,0,0,0
Lino Sousa,4,GK,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250182365.jpg?v=4.07,0,0,0,0
Alvaro Carrillo,4,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250126911.jpg?v=4.07,0,0,0,0
D. Piñeiro,4,GK,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153622.jpg?v=4.07,0,0,0,0
C. Lenz,3.9,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250055958.jpg?v=4.07,3,0,0,5
E. Audero,3.9,GK,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250058117.jpg?v=4.07,1,0,0,0
F. Krätzig,3.9,DEF,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153412.jpg?v=4.07,1,0,0,1
Á. Odriozola,3.8,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250064469.jpg?v=4.07,9,0,0,5
J. Pacheco,3.8,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250118766.jpg?v=4.07,3,0,0,3
M. Casado,3.8,DEF,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250129965.jpg?v=4.07,2,0,0,2
B. Sarr,3.8,DEF,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250086985.jpg?v=4.07,1,0,0,2
I. Kostis,3.8,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250129831.jpg?v=4.07,1,0,0,0
